BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
27.46,0.0,1165.0,2007-10-15 03:10:50,95.83,110.29,22.26,112.0,run_2,110.52,4.42,45.0,3389.68,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.43,0.0,1165.0,2007-10-15 03:11:00,95.83,109.87,22.26,112.0,run_2,110.58,4.84,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.39,0.0,1165.0,2007-10-15 03:11:10,93.09,109.77,22.26,112.0,run_2,111.09,4.94,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.33,0.0,1165.0,2007-10-15 03:11:20,93.09,109.25,20.22,112.0,run_2,111.2,5.47,45.0,3722.0,0.3,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.28,0.01,1165.0,2007-10-15 03:11:30,93.09,109.27,20.22,112.0,run_2,111.54,5.44,45.0,3722.0,0.3,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.23,0.01,1165.0,2007-10-15 03:11:40,95.83,109.33,20.22,112.0,run_2,111.48,5.39,45.0,3389.68,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.17,0.01,1165.0,2007-10-15 03:11:50,95.83,109.14,19.0,112.0,run_2,111.82,5.57,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.13,0.01,1165.0,2007-10-15 03:12:00,95.83,109.19,19.0,112.0,run_2,111.74,5.52,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.08,0.01,1165.0,2007-10-15 03:12:10,95.83,108.86,19.0,112.0,run_2,111.93,5.85,45.0,3389.68,0.22,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.02,0.0,1165.0,2007-10-15 03:12:20,104.05,109.06,17.87,112.0,run_2,111.84,5.66,45.0,3389.68,0.3,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
26.98,0.01,1165.0,2007-10-15 03:12:30,104.05,108.84,17.87,112.0,run_2,111.98,5.88,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
26.93,0.0,1165.0,2007-10-15 03:12:40,104.05,109.09,17.87,112.0,run_2,112.18,5.63,45.0,3722.0,0.22,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
26.87,0.01,1165.0,2007-10-15 03:12:50,95.83,109.24,17.4,112.0,run_2,112.12,5.47,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
26.82,0.01,1165.0,2007-10-15 03:13:00,95.83,109.17,17.4,112.0,run_2,111.95,5.54,45.0,3722.0,-0.08,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
28.14,0.01,1205.0,2007-10-15 06:05:30,82.14,109.89,25.24,112.0,run_2,111.03,6.6,24.0,3722.0,0.05,F-4,148.1,39.0331195968,-160.5709189896,0.0551902887139108,18.56,1185.0627048000001
28.07,0.01,1205.0,2007-10-15 06:05:40,82.14,109.8,25.72,112.0,run_2,111.05,6.7,24.0,3722.0,0.05,F-4,148.1,39.0331195968,-160.5709189896,0.0551902887139108,18.56,1185.0627048000001
27.97,0.01,1205.0,2007-10-15 06:05:50,82.14,109.91,25.72,112.0,run_2,111.21,6.58,24.0,3722.0,0.05,F-4,148.1,39.0331195968,-160.5709189896,0.0551902887139108,18.56,1185.0627048000001
27.89,0.01,1205.0,2007-10-15 06:06:00,90.36,110.07,26.19,112.0,run_2,111.13,6.43,24.0,3722.0,0.05,F-4,148.1,39.0331195968,-160.5709189896,0.0551902887139108,18.56,1185.0627048000001
27.82,0.01,1205.0,2007-10-15 06:06:10,90.36,109.85,26.19,112.0,run_2,110.99,6.65,24.0,3500.45,0.05,F-4,148.1,39.0331195968,-160.5709189896,0.0551902887139108,18.56,1185.0627048000001
